"","categoria","trabaja","se trabaja","mes"
"405","asalariado sin contrato",24501.20463382,2774.93839917343,68
"406","asalariado con contrato definido",35748.56603497,4767.6243788541,68
"407","asalariado con contrato indefinido",71075.11153268,5846.25137560204,68
"408","no remunerado",5092.36775326,1619.06890467931,68
"409","empleador",10219.65213391,2643.31262254425,69
"410","cuenta propia",38403.25876635,3808.55796522397,69
"411","asalariado sin contrato",24103.61317243,2728.89556618888,69
"412","asalariado con contrato definido",40627.82635965,5904.61913864953,69
"413","asalariado con contrato indefinido",73507.96395648,5562.03664038061,69
"414","no remunerado",6171.20662242,1774.50072463879,69
"415","empleador",11764.20466544,2754.06855144126,70
"416","cuenta propia",37730.18983611,4015.87773730088,70
"417","asalariado sin contrato",25633.88844945,2632.40797976828,70
"418","asalariado con contrato definido",40718.84462689,6041.94603749554,70
"419","asalariado con contrato indefinido",74583.88146988,5534.90653745858,70
"420","no remunerado",4960.92854471,1300.65991317031,70
"421","empleador",10131.66495826,2345.5345789288,71
"422","cuenta propia",39424.81939356,4015.91354406956,71
"423","asalariado sin contrato",33659.05369269,4245.40599246691,71
"424","asalariado con contrato definido",42960.68697056,6051.9492051299,71
"425","asalariado con contrato indefinido",74862.95092592,5397.26289826459,71
"426","no remunerado",4180.0194063,1045.08820971551,71
"427","empleador",8397.15569853,1958.86799392997,72
"428","cuenta propia",37152.75218577,3533.63662294572,72
"429","asalariado sin contrato",36470.53228179,4517.3020926563,72
"430","asalariado con contrato definido",40007.4846117,5019.36589961833,72
"431","asalariado con contrato indefinido",75857.15632589,5173.99491053908,72
