"","sector","tramos_edad","mes","sexo","trabaja","se trabaja","cv","Freq"
"335","Intermediacion Financiera",3,1,2,147.63445205,103.379270216601,70.02,2
"336","Intermediacion Financiera",3,2,1,96.04435526,96.0443552600001,100,1
"337","Intermediacion Financiera",3,2,2,472.21157756,282.345909005253,59.79,4
"338","Intermediacion Financiera",3,3,1,99.75957211,99.7595721099999,100,1
"339","Intermediacion Financiera",3,3,2,526.40865757,335.351728143633,63.71,4
"340","Intermediacion Financiera",3,4,1,98.0912061,98.0912061,100,1
"341","Intermediacion Financiera",3,4,2,199.36003574,113.171148897459,56.77,3
"342","Intermediacion Financiera",4,1,1,88.45603067,88.4560306700001,100,1
"343","Intermediacion Financiera",4,1,2,747.7973907,530.836795504163,70.99,2
"344","Intermediacion Financiera",4,2,1,435.16646449,351.363999443947,80.74,2
"345","Intermediacion Financiera",4,2,2,317.55596102,317.55596102,100,1
"346","Intermediacion Financiera",4,3,1,416.3838797,342.914454194063,82.36,2
"347","Intermediacion Financiera",4,4,1,428.45511618,352.855764778783,82.36,2
"348","Intermediacion Financiera",4,4,2,71.7171337,71.7171337,100,1
"349","Intermediacion Financiera",5,1,1,758.11529794,758.11529794,100,1
"350","Intermediacion Financiera",5,2,1,694.58495553,694.58495553,100,1
"351","Intermediacion Financiera",5,3,1,793.12508283,793.12508283,100,1
"352","Intermediacion Financiera",5,4,1,856.07930888,856.07930888,100,1
"353","Mineria",2,1,1,157.66083669,157.66083669,100,1
"354","Mineria",3,2,1,352.82150371,352.82150371,100,1
"355","Mineria",4,1,1,255.09245684,194.438806928962,76.22,2
"356","Mineria",4,2,1,131.05322696,91.5646945597177,69.87,2
"357","Mineria",4,3,1,70.46290747,70.4629074699999,100,1
"358","Mineria",4,4,1,133.39744481,93.5100557918842,70.1,2
"359","Servicios Sociales y Personales",1,1,1,997.65245604,513.754774112521,51.5,5
"360","Servicios Sociales y Personales",1,1,2,3137.1734801,909.246573059209,28.98,16
"361","Servicios Sociales y Personales",1,2,1,531.33102126,387.805089874857,72.99,2
"362","Servicios Sociales y Personales",1,2,2,4061.55010752,984.037126168752,24.23,22
"363","Servicios Sociales y Personales",1,3,1,420.46362614,345.098860133625,82.08,2
"364","Servicios Sociales y Personales",1,3,2,4887.25391843,1373.37653711806,28.1,22
"365","Servicios Sociales y Personales",1,4,1,543.23084538,363.62572107855,66.94,3
"366","Servicios Sociales y Personales",1,4,2,4255.07791817,1361.19285027116,31.99,17
